transaction_id,customer_id,store_id,transaction_timestamp,total_amount
T000044,C01375,S04141,2025-10-18 03:52:00,125290.0
T000045,C07231,S01834,2026-01-21 21:56:00,13409.64
T000046,C11045,S08057,2025-11-27 18:38:00,80160.19
T000047,C08422,S03097,2025-07-29 03:01:00,29611.88
T000048,C12081,S00223,2025-06-04 22:00:00,71845.95
T000049,C04932,S06967,2025-02-18 09:21:00,125035.83
T000050,C09231,S03879,2025-11-10 13:42:00,45077.07
T000051,C06987,S06805,2025-12-16 21:26:00,140343.22
T000052,C03143,S06057,2025-10-05 23:01:00,37311.36
T000053,C06008,S01845,2025-10-27 06:16:00,77854.44
T000054,C07031,S06314,2025-04-07 17:01:00,175063.63
T000055,C11395,S05322,2025-03-31 20:42:00,62027.35
T000056,C11602,S07153,2025-08-02 22:00:00,154463.08
T000057,C06306,S00199,2025-05-21 15:52:00,120603.32
T000058,C03332,S03264,2026-02-05 20:28:00,86933.98
T000059,C01214,S05591,2025-07-16 11:08:00,67335.15
T000060,C10785,S01963,2025-10-21 02:30:00,65525.25
T000061,C00549,S07442,2025-12-01 17:28:00,85114.76
T000062,C11144,S01639,2025-11-02 10:38:00,122392.61
T000063,C02393,S03935,2025-05-22 10:31:00,88426.6
T000064,C08155,S05376,2025-05-05 13:19:00,62684.27
T000065,C11084,S06996,2025-04-06 07:09:00,92564.09
T000066,C06158,S09404,2025-10-21 10:07:00,41749.45
T000067,C04141,S03145,2026-02-05 01:00:00,31423.18
T000068,C07942,S02555,2025-12-05 06:41:00,59601.61
T000069,C05773,S03000,2025-04-17 20:03:00,158361.97
T000070,C07467,S02309,2025-04-05 11:30:00,62447.45
T000071,C11482,S10274,2026-03-01 08:42:00,118313.98
T000072,C02236,S03105,2026-01-05 17:38:00,162325.36
T000073,C00929,S02159,2026-01-15 16:47:00,174534.05
T000074,C08030,S08366,2025-09-03 23:34:00,102991.74
T000075,C00099,S00211,2025-02-20 05:33:00,26371.56
T000076,C02150,S06356,2025-02-14 09:24:00,84333.45
T000077,C02903,S06211,2025-05-11 21:33:00,495.16
T000078,C12111,S08117,2025-12-08 11:13:00,20087.53
T000079,C02122,S00918,2025-03-28 06:51:00,17443.28
T000080,C10030,S03310,2025-08-12 11:08:00,176595.81
T000081,C10597,S09572,2025-02-16 12:01:00,72785.73
T000082,C11364,S00338,2025-10-30 01:48:00,136797.14
T000083,C12374,S09663,2025-04-04 20:09:00,165986.5
T000084,C08366,S05504,2025-02-27 06:57:00,89266.85
T000085,C02303,S06840,2025-05-24 09:13:00,99943.09
T000086,C08103,S06424,2025-01-25 14:36:00,169715.03
T000087,C07379,S03391,2025-11-24 18:00:00,4567.23
T000088,C06845,S08753,2025-08-29 15:39:00,23977.68
T000089,C07050,S05577,2025-11-22 23:20:00,80244.92
T000090,C01038,S01157,2026-01-28 19:11:00,77525.0
T000091,C01083,S02173,2026-03-16 11:59:00,105873.38
T000092,C01121,S00616,2026-02-10 11:00:00,125904.0
T000093,C00320,S06614,2026-03-08 10:30:00,94025.22
T000094,C06323,S04393,2025-01-14 11:58:00,27976.91
T000095,C02172,S03580,2025-08-17 16:28:00,16844.93
T000096,C04832,S00639,2025-03-05 09:03:00,6189.8
T000097,C03449,S00360,2025-03-04 18:07:00,105430.25
T000098,C09083,S09751,2025-11-06 09:26:00,14700.61
T000099,C11099,S01104,2025-04-23 01:39:00,171667.3
T000100,C05975,S06526,2025-08-21 13:25:00,92635.28
T000101,C05840,S04913,2025-12-31 10:17:00,18585.26
T000102,C01166,S07961,2025-06-11 01:01:00,110903.72
T000103,C10785,S05416,2025-05-11 04:08:00,75064.67
T000104,C08367,S00035,2025-09-09 12:21:00,7163.56
T000105,C11988,S05661,2025-11-26 15:40:00,9895.52
T000106,C01327,S02397,2025-11-10 09:41:00,175375.62
T000107,C02741,S02826,2026-01-26 05:50:00,141258.65
T000108,C05955,S00480,2025-08-19 16:31:00,64450.94
T000109,C07931,S07900,2026-03-26 07:40:00,59582.7
T000110,C11755,S01975,2025-11-20 19:15:00,33592.36
T000111,C09750,S00656,2025-12-20 17:04:00,213.55
T000112,C07458,S04872,2025-11-27 00:26:00,45313.11
T000113,C04571,S01968,2026-02-12 00:26:00,16300.89
T000114,C04176,S02364,2025-08-01 16:51:00,170799.31
T000115,C06761,S03026,2025-03-25 03:15:00,169478.45
T000116,C02351,S08548,2025-09-24 09:24:00,156938.2
T000117,C11850,S05209,2025-03-30 05:07:00,45210.25
T000118,C10214,S09192,2025-01-04 22:07:00,43564.56
T000119,C00546,S03131,2025-04-18 16:53:00,18623.18
T000120,C03178,S08859,2025-06-16 09:02:00,9819.43
T000121,C02788,S02372,2025-07-25 19:27:00,77482.92
T000122,C08091,S07712,2026-01-22 15:25:00,91169.54
T000123,C05991,S02033,2026-03-07 20:57:00,163302.9
T000124,C00383,S01641,2025-11-21 01:49:00,100528.18
T000125,C06729,S09375,2025-07-16 04:46:00,58938.28
T000126,C09988,S06777,2026-01-05 14:36:00,101263.87
T000127,C02239,S10326,2025-08-15 22:32:00,161373.4
T000128,C03815,S04448,2025-11-15 07:30:00,166662.43
T000129,C00478,S00321,2025-06-16 06:05:00,47228.18
T000130,C04248,S01617,2025-10-08 09:18:00,87119.26
T000131,C09271,S04029,2025-06-17 01:54:00,22860.27
T000132,C10690,S01401,2025-12-31 13:33:00,117388.17
T000133,C10814,S09782,2026-02-07 10:49:00,78744.36
T000134,C02572,S05886,2025-03-27 12:04:00,3487.81
T000135,C04311,S00665,2025-06-20 18:03:00,154233.81
T000136,C00270,S06968,2026-01-18 12:07:00,31191.2
T000137,C01343,S02626,2025-11-06 03:20:00,177958.62
T000138,C02286,S09001,2026-02-20 15:50:00,54041.75
T000139,C10544,S01857,2025-12-05 01:47:00,14433.33
T000140,C05622,S04173,2025-10-17 18:27:00,50399.87
T000141,C03661,S09940,2025-07-07 11:11:00,44770.37
T000142,C05744,S02821,2025-04-24 10:33:00,133536.51
T000143,C07780,S03376,2025-03-23 16:10:00,14591.54
T000144,C06232,S05142,2026-02-05 23:36:00,165591.93
T000145,C09113,S00884,2025-03-15 00:14:00,76587.59
T000146,C09462,S08318,2025-07-08 09:52:00,41973.29
T000147,C07742,S00210,2025-11-10 06:40:00,32367.66
T000148,C02300,S03831,2025-01-28 00:28:00,120066.71
T000149,C01797,S03263,2025-06-24 03:34:00,37487.22
T000150,C08863,S09257,2025-03-11 16:56:00,134637.93
T000151,C01290,S01188,2025-04-04 12:27:00,91079.32
T000152,C09303,S08008,2025-06-30 12:47:00,54343.28
T000153,C12118,S07643,2025-02-17 04:17:00,6457.01
T000154,C06826,S04886,2025-09-24 16:57:00,104328.28
T000155,C04315,S00041,2025-02-08 05:31:00,9395.53
T000156,C09424,S03627,2025-11-08 05:28:00,148331.2
T000157,C09572,S06629,2025-09-04 04:16:00,169865.12
T000158,C03985,S06532,2025-07-01 07:53:00,44044.9
T000159,C04881,S02480,2025-04-14 19:31:00,95362.45
T000160,C00922,S01416,2026-02-09 00:59:00,114430.61
T000161,C04182,S10018,2025-09-17 04:34:00,4755.16
T000162,C08050,S09051,2025-10-28 02:29:00,168965.62
T000163,C02665,S05100,2026-01-02 13:28:00,131348.89
T000164,C06648,S09509,2025-03-01 09:32:00,176688.03
T000165,C09070,S04450,2025-07-12 01:23:00,63776.76
T000166,C00206,S02929,2025-11-24 08:35:00,171665.31
T000167,C12495,S04804,2025-01-20 20:20:00,80753.37
T000168,C04935,S01208,2025-01-17 16:05:00,17083.13
T000169,C10254,S02676,2025-07-23 13:11:00,111960.9
T000170,C01141,S00919,2025-06-27 02:09:00,159322.06
T000171,C07760,S01091,2025-01-12 08:24:00,118405.03
T000172,C12055,S07729,2025-09-20 07:57:00,143596.86
T000173,C10500,S06715,2025-05-21 22:32:00,158019.69
T000174,C03339,S03951,2026-02-07 14:27:00,167992.04
T000175,C01526,S09026,2025-02-04 20:58:00,18347.34
T000176,C08881,S02275,2025-02-17 00:03:00,21632.69
T000177,C09538,S08031,2025-07-06 15:32:00,94121.33
T000178,C02958,S00431,2025-04-18 16:47:00,162195.69
T000179,C11479,S00331,2026-01-13 01:27:00,44685.06
T000180,C00425,S05272,2025-12-22 11:58:00,128151.71
T000181,C04697,S01144,2025-03-06 05:34:00,175634.66
T000182,C01166,S07987,2025-09-23 18:04:00,82194.6
T000183,C05659,S03537,2025-01-29 12:19:00,148374.55
T000184,C09038,S09788,2026-01-31 08:10:00,36980.4
T000185,C10125,S09921,2025-03-09 23:24:00,155300.35
T000186,C07724,S10318,2025-09-18 20:58:00,42161.04
T000187,C08263,S06415,2025-05-24 06:54:00,12561.72
T000188,C04547,S02657,2026-01-24 11:16:00,150738.72
T000189,C07591,S05785,2026-01-20 22:49:00,68423.55
T000190,C08951,S01157,2025-01-14 00:41:00,101944.97
T000191,C02612,S02982,2025-11-01 08:11:00,12617.09
T000192,C02568,S01897,2025-06-19 17:03:00,34377.46
T000193,C11928,S04884,2025-03-10 12:41:00,165802.29
T000194,C02490,S04138,2026-02-15 14:04:00,173776.05
T000195,C10878,S05255,2025-10-01 09:36:00,70153.23
T000196,C05570,S00295,2025-10-05 14:10:00,7372.71
T000197,C10806,S03840,2025-05-11 17:44:00,72846.23
T000198,C02857,S01601,2025-05-17 15:35:00,113679.59
T000199,C06534,S07103,2025-11-17 20:13:00,79581.13
T000200,C04401,S02109,2025-05-23 03:50:00,104090.77
T000201,C04836,S04772,2025-03-24 10:20:00,23637.35
T000202,C11462,S03156,2025-01-17 04:06:00,120305.19
T000203,C08878,S05663,2025-05-19 10:19:00,158348.78
T000204,C12144,S08813,2025-08-26 04:16:00,39147.99
T000205,C10421,S05797,2025-09-03 22:46:00,173127.65
T000206,C11315,S00509,2026-03-02 13:39:00,138699.73
T000207,C11690,S06313,2025-07-20 15:23:00,76340.27
T000208,C12087,S05649,2025-08-07 07:29:00,109684.81
T000209,C02861,S07941,2025-06-06 16:50:00,16030.19
T000210,C07736,S02880,2025-03-12 10:16:00,139994.17
T000211,C03329,S03167,2025-12-29 02:09:00,4494.9
T000212,C10323,S07526,2025-08-12 21:27:00,45999.65
T000213,C07178,S06895,2025-05-11 13:30:00,68090.43
T000214,C09393,S05848,2025-03-29 07:07:00,172779.67
T000215,C05818,S04529,2025-09-25 01:07:00,179009.28
T000216,C08836,S01360,2025-06-25 12:10:00,173418.59
T000217,C10896,S03453,2025-07-07 22:33:00,45853.51
T000218,C05687,S06967,2025-06-08 23:25:00,99258.84
T000219,C05984,S06551,2025-04-30 00:13:00,140331.36
T000220,C06086,S00455,2025-09-04 22:56:00,85351.22
T000221,C03455,S08809,2025-01-21 02:13:00,86908.99
T000222,C06132,S06166,2026-02-06 03:42:00,144609.24
T000223,C04013,S07194,2025-11-28 15:28:00,87763.25
T000224,C09170,S04647,2025-07-03 23:20:00,41300.94
T000225,C01467,S06155,2026-02-27 00:38:00,102019.3
T000226,C10553,S09249,2026-03-18 18:58:00,168541.85
T000227,C12313,S05661,2025-12-05 15:56:00,176223.28
T000228,C11983,S08604,2025-02-10 04:32:00,157217.18
T000229,C11715,S02032,2025-01-13 02:47:00,34588.25
T000230,C02821,S01641,2025-01-24 05:29:00,34221.77
T000231,C05466,S00434,2025-12-01 20:25:00,7138.91
T000232,C11743,S08354,2025-06-16 07:35:00,138094.65
T000233,C07737,S06796,2025-08-13 15:13:00,103639.08
T000234,C01176,S01611,2025-02-06 15:36:00,127316.8
T000235,C02290,S01799,2025-08-13 18:38:00,161937.26
T000236,C11306,S07414,2025-05-12 19:31:00,93687.32
T000237,C11473,S05050,2026-02-26 08:01:00,109983.17
T000238,C03458,S10152,2025-12-01 09:04:00,20297.87
T000239,C10994,S07152,2025-12-05 21:53:00,139313.83
T000240,C08551,S01426,2025-10-03 21:32:00,166735.39
T000241,C02884,S05067,2025-11-20 12:30:00,34940.52
T000242,C08621,S03214,2025-06-25 00:15:00,23612.6
T000243,C11668,S04514,2025-08-08 07:14:00,94415.89
T000244,C07865,S01875,2025-02-07 18:33:00,27367.58
T000245,C08375,S01371,2026-01-04 21:50:00,147100.71
T000246,C04948,S02996,2025-03-31 10:27:00,42272.1
T000247,C11578,S03965,2025-12-25 06:46:00,57040.75
T000248,C09068,S07232,2026-03-01 11:56:00,169529.14
T000249,C03957,S02753,2025-06-09 22:04:00,2639.51
T000250,C02140,S00549,2025-04-27 22:23:00,18027.39
T000251,C01177,S00060,2025-11-20 17:17:00,22158.25
T000252,C12186,S09645,2026-01-05 14:55:00,45703.66
T000253,C04727,S10230,2025-12-03 01:38:00,159146.2
T000254,C01515,S09136,2025-04-21 12:58:00,113769.15
T000255,C01967,S02316,2025-03-26 13:09:00,146797.45
T000256,C02605,S07847,2026-01-10 09:19:00,100527.93
T000257,C01297,S07948,2025-06-09 03:03:00,25326.56
T000258,C10790,S07266,2025-06-29 00:05:00,56811.41
T000259,C06943,S01794,2026-02-08 03:17:00,15150.05
T000260,C09956,S06347,2025-10-09 03:03:00,118587.17
T000261,C10040,S10095,2026-01-05 18:33:00,3558.8
T000262,C11260,S02837,2026-03-17 20:37:00,54052.41
T000263,C11648,S02601,2026-01-11 10:43:00,41219.24
T000264,C11820,S05358,2025-02-09 05:40:00,73898.68
T000265,C03835,S06031,2025-02-10 07:53:00,176328.73
T000266,C06403,S04759,2025-09-04 04:44:00,80888.16
T000267,C09838,S04762,2026-02-10 16:44:00,158612.09
T000268,C03212,S02877,2025-09-25 04:41:00,7499.02
T000269,C02828,S00647,2026-01-14 16:05:00,42386.35
T000270,C06111,S02666,2025-09-07 15:34:00,65970.07
T000271,C05170,S04090,2025-08-07 05:54:00,151529.42
T000272,C04896,S09724,2025-01-22 04:49:00,23800.15
T000273,C04569,S00965,2026-03-19 18:24:00,136892.02
T000274,C06957,S04361,2025-05-10 16:41:00,44502.67
T000275,C02094,S07941,2025-11-19 18:32:00,96239.94
T000276,C03444,S02255,2025-01-12 12:17:00,39142.17
T000277,C02766,S07282,2025-03-09 07:19:00,125376.08
T000278,C06979,S08558,2025-09-06 05:37:00,27150.65
T000279,C03214,S00447,2025-03-11 14:12:00,75796.39
T000280,C06239,S08812,2025-01-02 03:38:00,1496.3
T000281,C12175,S03807,2025-10-07 06:41:00,174878.17
T000282,C01683,S06964,2026-01-24 10:11:00,113818.04
T000283,C06098,S07188,2025-06-20 09:31:00,22140.05
T000284,C04764,S09295,2025-11-17 19:05:00,39984.63
T000285,C01198,S07005,2025-02-24 12:02:00,38619.54
T000286,C02707,S07754,2026-02-11 09:23:00,80316.83
,C12197,S08463,2025-11-23 15:29:00,171206.12
T000288,C12478,S04072,2025-03-31 14:54:00,113289.11
T000289,C08300,S08774,2025-06-17 21:05:00,154458.49
T000290,C06811,S08288,2025-04-06 14:59:00,100330.82
T000291,C07207,S10088,2026-02-14 04:50:00,117198.79
T000292,C06721,S07801,2026-03-21 07:04:00,147271.42
T000293,C12225,S00108,2025-10-18 07:39:00,118849.05
T000294,C07987,S00066,2026-03-01 06:57:00,82164.88
T000295,C09336,S05657,2025-05-16 02:41:00,18771.61
T000296,C00584,S01194,2025-01-12 20:06:00,103509.95
T000297,C07729,S02609,2026-03-02 18:11:00,128742.32
T000298,C01588,S04354,2025-05-06 19:55:00,96567.64
T000299,C03956,S06775,2025-08-04 05:55:00,
T000300,C03673,S08667,2025-12-02 12:00:00,156602.25
T000301,C07396,S06528,2025-07-11 18:50:00,82677.72
T000302,C05662,S00647,2025-05-09 12:05:00,167448.59
T000303,C07434,S02227,2025-06-02 07:46:00,505.59
T000304,C04620,S00929,2025-08-21 12:57:00,22108.29
T000305,C08967,S00282,2026-01-24 07:48:00,144108.78
T000306,C07826,S02620,2025-05-17 01:23:00,123037.95
T000307,C12002,S10021,2025-06-01 07:55:00,129101.26
T000308,C05464,S06003,2025-08-05 15:23:00,156188.49
T000309,C04245,S00048,2025-08-09 22:48:00,71888.78
T000310,C10997,S04440,2025-09-05 22:16:00,87933.03
T000311,C00464,S00169,2025-09-26 00:36:00,149579.03
T000312,C11982,S02419,2025-01-29 15:35:00,65410.12
T000313,C08212,S07902,2025-04-29 19:30:00,92243.47
T000314,C07795,S08126,2025-12-19 04:31:00,37120.28
T000315,C06965,S10442,2025-11-20 04:16:00,101044.45
T000316,C08891,S09360,2025-07-24 20:11:00,7149.05
T000317,C00382,S05055,2025-04-01 20:21:00,56837.94
T000318,C09400,S01393,2025-02-11 07:57:00,44006.31
T000319,C11100,S05443,2026-03-21 23:09:00,78579.83
T000320,C02834,S01043,2025-09-09 14:54:00,64592.64
T000321,C03160,S09523,2026-02-18 10:15:00,63018.3
T000322,C04996,S01580,2026-01-13 12:43:00,131980.99
T000323,C03469,S09602,2025-07-08 23:54:00,47628.44
T000324,C08025,S00689,2026-01-15 03:22:00,4842.17
T000325,C02115,S01690,2025-07-19 12:27:00,83255.76
T000326,C01087,S08756,2025-08-23 07:13:00,128290.37
T000327,C09960,S00241,2025-08-29 04:18:00,41660.56
T000328,C04973,S01429,2026-03-11 16:05:00,168067.19
T000329,C07322,S01587,2025-10-06 03:01:00,161822.75
T000330,C02002,S00065,2026-01-11 14:33:00,374.11
T000331,C06504,S10480,2026-01-13 07:27:00,116169.53
T000332,C02918,S01419,2025-08-31 12:08:00,137877.05
T000333,C05760,S03493,2025-05-28 21:56:00,83796.08
T000334,C07547,S02862,2025-11-19 17:52:00,129247.49
T000335,C08471,S09584,2025-02-28 20:01:00,67894.35
T000336,C05595,S00225,2025-01-08 19:05:00,1089.21
T000337,C10475,S09775,2025-07-01 23:08:00,8719.27
T000338,C03414,S02560,2025-06-24 07:45:00,166501.67
T000339,C05016,S03523,2025-08-26 05:42:00,104931.49
T000340,C02426,S09589,2025-09-15 05:32:00,79011.6
T000341,C02753,S10240,2025-08-06 03:59:00,9328.51
T000342,C07869,S04926,2026-01-02 06:26:00,97507.7
T000343,C06765,S06827,2025-06-28 06:19:00,37604.12
T000344,C03458,S07041,2025-07-21 11:56:00,100416.5
T000345,C08697,S00411,2025-05-27 06:17:00,165115.38
T000346,C08481,S09515,2025-08-11 13:10:00,173478.58
T000347,C08341,S05794,2026-02-23 01:32:00,41917.87
T000348,C11081,S10109,2025-04-17 06:30:00,73649.53
T000349,C11465,S02636,2025-09-03 10:58:00,130099.66
T000350,C01028,S09831,2025-03-19 15:26:00,148216.89
T000351,C04955,S05301,2026-02-09 21:46:00,85200.58
T000352,C04170,S09983,2025-09-17 17:45:00,145846.71
T000353,C04680,S07242,2025-10-17 05:24:00,169652.36
T000354,C11572,S01203,2026-01-25 16:54:00,128902.44
T000355,C04733,S01897,2026-01-11 11:22:00,86585.91
T000356,C04854,S00403,2026-03-01 16:15:00,165242.39
T000357,C12109,S00593,2025-05-06 19:25:00,118744.46
T000358,C10722,S02525,2026-01-20 15:32:00,104257.22
T000359,C01802,S04442,2025-03-29 05:25:00,8236.03
T000360,C00084,S04709,2026-01-20 16:00:00,141682.46
T000361,C02178,S00493,2025-04-13 22:49:00,19888.88
T000362,C00037,S06864,2025-05-23 07:08:00,88673.99
T000363,C01694,S08084,2025-10-23 03:13:00,111297.13
T000364,C11410,S07164,2025-12-28 03:09:00,125926.1
T000365,C02948,S01218,2025-06-03 05:27:00,67847.21
T000366,C08957,S07036,2025-04-13 00:42:00,158326.21
T000367,C09456,S10236,2025-02-28 05:53:00,123418.1
T000368,C09420,S05893,2025-12-19 03:19:00,95352.0
T000369,C01973,S08913,2025-05-22 03:02:00,47160.77
T000370,C07727,S06700,2025-10-15 17:53:00,79520.89
T000371,C00861,S07621,2025-11-24 13:44:00,90198.2
T000372,C01508,S02031,2025-01-23 18:22:00,83763.23
T000373,C02731,S06841,2025-05-20 09:21:00,28782.77
T000374,C03032,S05708,2025-07-07 11:17:00,151835.33
T000375,C09954,S04491,2025-09-11 22:19:00,7625.56
T000376,C03262,S06154,2025-04-26 02:34:00,102865.3
T000377,C03023,S06076,2026-01-07 17:55:00,89633.45
T000378,C04394,S02899,2025-01-24 23:45:00,96987.56
T000379,C10076,S00574,2025-06-16 13:15:00,155548.5
T000380,C10885,S04609,2026-01-18 19:58:00,164477.69
T000381,C06570,S08801,2025-09-02 09:38:00,45682.69
T000382,C00622,S08763,2025-09-17 22:40:00,84118.95
T000383,C06375,S06376,2025-07-06 11:27:00,115795.52
T000384,C09643,S03646,2026-03-16 06:31:00,119214.22
T000385,C11828,S08004,2026-02-16 23:33:00,
T000386,C08191,S06254,2025-05-25 10:54:00,129328.97
T000387,C04787,S05212,2025-06-10 02:14:00,154490.83
T000388,C09861,S03452,2025-04-21 09:26:00,175335.14
T000389,C10341,S02002,2026-02-26 17:17:00,69609.05
T000390,C02114,S07001,2025-04-30 14:44:00,109775.82
T000391,C07429,S07808,2025-09-17 17:03:00,147393.55
T000392,C04550,S06326,2025-11-10 21:05:00,77743.69
T000393,C09652,S10229,2026-02-15 08:02:00,52729.76
T000394,C01040,S07748,2025-08-27 03:31:00,66751.99
T000395,C09819,S03629,2025-09-01 04:21:00,70379.73
T000396,C00391,S03202,2025-06-02 01:27:00,10481.01
T000397,C10190,S07691,2025-04-27 20:16:00,153567.73
T000398,C00522,S09732,2025-05-27 10:07:00,88803.18
T000399,C12048,S08309,2025-12-09 21:45:00,130488.57
T000400,C06790,S05194,2025-02-06 13:43:00,114388.33
T000401,C03698,S08353,2026-01-26 11:56:00,38773.95
T000402,C05999,S05663,2025-04-04 21:17:00,119513.88
T000403,C03351,S02661,2026-02-03 11:02:00,39308.0
T000404,C08749,S10472,2025-07-11 11:58:00,131348.86
T000405,C09652,S03122,2025-09-02 19:47:00,25206.73
T000406,C04308,S00348,2025-07-18 11:00:00,3564.51
T000407,C03754,S06519,2025-12-26 19:12:00,26408.78
T000408,C06283,S06375,2025-12-08 08:28:00,43857.03
T000409,C02013,S00181,2025-07-28 18:51:00,178962.36
T000410,C12350,S01571,2025-04-11 18:27:00,124986.42
T000411,C00988,S05695,2025-08-06 17:05:00,118186.39
T000412,C03474,S05800,2025-10-15 17:31:00,149750.45
T000413,C07993,S08226,2025-04-25 22:19:00,123642.08
T000414,C09803,S08291,2025-08-18 03:10:00,51958.58
T000415,C07458,S03014,2025-06-04 00:06:00,45825.56
T000416,C00309,S03005,2025-03-26 03:38:00,159200.59
,C04794,S00970,2025-06-22 10:51:00,24860.78
T000418,C00859,S09638,2025-08-30 16:54:00,81343.96
T000419,C12359,S06919,2025-02-17 08:36:00,10738.42
T000420,C00345,S06464,2026-03-28 06:03:00,164463.82
T000421,C06483,S08065,2025-02-20 14:01:00,12009.92
T000422,C04106,S06410,2025-07-10 20:21:00,136371.99
T000423,C10710,S09748,2025-09-25 00:41:00,58483.82
T000424,C02401,S08927,2025-07-09 18:40:00,14979.69
T000425,C06383,S07302,2025-05-06 07:34:00,113894.89
T000426,C01221,S10350,2025-12-04 21:32:00,75919.39
T000427,C07652,S04617,2025-12-09 23:45:00,114094.19
T000428,C08352,S02934,2025-03-21 05:03:00,107128.23
T000429,C07813,S05872,2025-04-03 01:00:00,173098.53
T000430,C02724,S09618,2025-03-02 09:37:00,3413.48
T000431,C00346,S01971,2026-01-10 18:41:00,11429.04
T000432,C01689,S09762,2025-10-22 08:31:00,84786.31
T000433,C02365,S07475,2025-04-06 23:34:00,43152.88
T000434,C08416,S08973,2025-05-09 16:27:00,108001.14
T000435,C11195,S10329,2025-03-05 17:23:00,
T000436,C03974,S04351,2025-10-24 04:13:00,162202.59
T000437,C03360,S06175,2025-03-30 12:47:00,119408.11
T000438,C08691,S06105,2025-05-03 11:24:00,6071.51
T000439,C00227,S05233,2025-10-28 15:03:00,138669.14
T000440,C04759,S06163,2025-06-12 15:51:00,67913.52
T000441,C08989,S02042,2025-05-10 08:34:00,179422.09
T000442,C02311,S06908,2025-06-28 05:46:00,13246.93
T000443,C06018,S04282,2026-03-12 08:19:00,85027.48
T000444,C03711,S00949,2025-06-13 04:04:00,110974.27
T000445,C06132,S05807,2025-04-20 17:22:00,102562.26
T000446,C04411,S01730,2025-12-04 16:52:00,20111.09
T000447,C05134,S01439,2025-12-27 03:31:00,72381.78
T000448,C00791,S08524,2025-05-22 01:39:00,163639.07
T000449,C05656,S10401,2025-06-18 17:03:00,15149.15
T000450,C03269,S03747,2026-01-27 14:40:00,124807.12
T000451,C01560,S01081,2025-06-23 00:46:00,166805.77
T000452,C03297,S01503,2025-09-17 07:49:00,174066.88
T000453,C01444,S03850,2025-08-10 12:31:00,130430.95
T000454,C00530,S08938,2025-04-02 04:05:00,123641.83
T000455,C11011,S06603,2025-04-09 22:12:00,67498.44
T000456,C11020,S04244,2025-01-31 23:01:00,38458.11
T000457,C00811,S01955,2025-03-22 08:48:00,101600.93
T000458,C12490,S07877,2025-02-28 03:17:00,98325.56
T000459,C02769,S07549,2025-01-12 02:54:00,179544.89
T000460,C01604,S02084,2025-08-30 18:35:00,96514.99
T000461,C00888,S00005,2025-02-26 16:27:00,8576.6
T000462,C09775,S02750,2025-08-29 04:22:00,139088.83
,C09753,S03754,2026-02-25 02:57:00,103724.27
T000464,C00801,S05224,2025-02-13 18:50:00,5557.48
T000465,C09279,S03026,2025-12-03 10:21:00,146135.57
